product_category_name,review_score,order_item_id,customer_city
cool_stuff,5,1,campos dos goytacazes
pet_shop,4,1,santa fe do sul
moveis_decoracao,5,1,para de minas
perfumaria,4,1,atibaia
ferramentas_jardim,5,1,varzea paulista
utilidades_domesticas,4,1,uberaba
telefonia,4,1,guararapes
ferramentas_jardim,5,1,praia grande
beleza_saude,1,1,santos
livros_tecnicos,4,1,jandira
beleza_saude,5,1,piracicaba
fashion_bolsas_e_acessorios,5,1,monte alto
cama_mesa_banho,5,1,rio de janeiro
ferramentas_jardim,5,1,jandira
ferramentas_jardim,5,2,jandira
esporte_lazer,5,1,alfenas
consoles_games,4,1,campinas
perfumaria,1,1,santa barbara d'oeste
esporte_lazer,5,1,jundiai
cool_stuff,3,1,cubatao
cama_mesa_banho,3,1,sao paulo
telefonia,3,1,santa cruz do rio pardo
moveis_escritorio,4,1,volta redonda
fashion_bolsas_e_acessorios,4,1,ivaipora
cool_stuff,5,1,rio de janeiro
esporte_lazer,5,1,nova iguacu
malas_acessorios,4,1,sao paulo
moveis_decoracao,5,1,anapolis
alimentos,5,1,sao bernardo do campo
moveis_decoracao,5,1,osasco
agro_industria_e_comercio,4,1,rio de janeiro
moveis_decoracao,2,1,ituiutaba
telefonia,5,1,pinhais
eletronicos,5,1,pato bragado
cama_mesa_banho,1,1,rio de janeiro
ferramentas_jardim,5,1,canavieiras
informatica_acessorios,1,1,campo alegre
cool_stuff,5,1,cunha
moveis_decoracao,5,1,monte siao
eletronicos,4,1,salvador
eletronicos,4,2,salvador
eletronicos,4,3,salvador
construcao_ferramentas_construcao,5,1,cubatao
informatica_acessorios,5,1,santa salete
cama_mesa_banho,2,1,sao paulo
beleza_saude,1,1,sao paulo
beleza_saude,1,2,sao paulo
pet_shop,5,1,itapicuru
cama_mesa_banho,5,1,santos dumont
informatica_acessorios,5,1,campo grande
beleza_saude,1,1,coromandel
moveis_decoracao,4,1,guaratuba
moveis_decoracao,5,1,volta redonda
audio,4,1,araraquara
esporte_lazer,5,1,sao bernardo do campo
livros_tecnicos,5,1,governador valadares
bebes,5,1,fortaleza
informatica_acessorios,4,1,belo horizonte
esporte_lazer,5,1,amanari
